ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2018-08-01,-412.874182,1270.9858601619444,1270.985862268455,-412.874182,-412.874182,1683.8600431965535,1683.8600431965535,1683.8600431965535,1683.8600431965535,1683.8600431965535,1683.8600431965535,0.0,0.0,0.0,1270.9858611965535
2020-01-01,-1420.744135813773,898.9891464427311,898.989148456512,-1420.744135813773,-1420.744135813773,2319.733283253588,2319.733283253588,2319.733283253588,2319.733283253588,2319.733283253588,2319.733283253588,0.0,0.0,0.0,898.989147439815
2020-02-01,-1481.060677451277,-4136.957999932113,-4136.957997842779,-1481.060677451277,-1481.060677451277,-2655.897321441086,-2655.897321441086,-2655.897321441086,-2655.897321441086,-2655.897321441086,-2655.897321441086,0.0,0.0,0.0,-4136.957998892363
2020-03-01,-1537.485829305716,-7145.640700489784,-7145.64069838131,-1537.485829305716,-1537.485829305716,-5608.154870165823,-5608.154870165823,-5608.154870165823,-5608.154870165823,-5608.154870165823,-5608.154870165823,0.0,0.0,0.0,-7145.640699471539
2020-04-01,-1597.8023709432196,692.8510482466771,692.8510504677364,-1597.8023709432196,-1597.8023709432196,2290.6534203150113,2290.6534203150113,2290.6534203150113,2290.6534203150113,2290.6534203150113,2290.6534203150113,0.0,0.0,0.0,692.8510493717918
2020-05-01,-1656.173217689191,-3919.9855801535746,-3919.9855776059685,-1656.1732177574954,-1656.1732176863384,-2263.812361223708,-2263.812361223708,-2263.812361223708,-2263.812361223708,-2263.812361223708,-2263.812361223708,0.0,0.0,0.0,-3919.985578912899
2020-06-01,-1716.489759326695,-2904.027925832503,-2904.0279231099025,-1716.4897596037674,-1716.489759093177,-1187.5381651502653,-1187.5381651502653,-1187.5381651502653,-1187.5381651502653,-1187.5381651502653,-1187.5381651502653,0.0,0.0,0.0,-2904.0279244769604
2020-07-01,-1774.860606072666,-5944.9129357884285,-5944.912932938752,-1774.8606065367712,-1774.8606053142307,-4170.052328304006,-4170.052328304006,-4170.052328304006,-4170.052328304006,-4170.052328304006,-4170.052328304006,0.0,0.0,0.0,-5944.912934376672
2020-08-01,-1835.1771477101702,-428.66346314228883,-428.6634598612928,-1835.1771483888606,-1835.17714643801,1406.5136860682805,1406.5136860682805,1406.5136860682805,1406.5136860682805,1406.5136860682805,1406.5136860682805,0.0,0.0,0.0,-428.6634616418896
2020-09-01,-1895.4936893476738,18987.179350307346,18987.17935417799,-1895.4936904659326,-1895.4936875479339,20882.67304134768,20882.67304134768,20882.67304134768,20882.67304134768,20882.67304134768,20882.67304134768,0.0,0.0,0.0,18987.179352000006
2020-10-01,-1953.8645360936453,-19741.806568569904,-19741.806563909457,-1953.864537678774,-1953.8645338074768,-17787.942030274426,-17787.942030274426,-17787.942030274426,-17787.942030274426,-17787.942030274426,-17787.942030274426,0.0,0.0,0.0,-19741.80656636807
2020-11-01,-2014.1810777311491,1508.1576326325753,1508.1576378385048,-2014.1810798906406,-2014.1810745847274,3522.3387123939774,3522.3387123939774,3522.3387123939774,3522.3387123939774,3522.3387123939774,3522.3387123939774,0.0,0.0,0.0,1508.1576346628283
2020-12-01,-2072.5519244771203,840.4284081215884,840.4284148569769,-2072.551927587208,-2072.551920825036,2912.9803357981027,2912.9803357981027,2912.9803357981027,2912.9803357981027,2912.9803357981027,2912.9803357981027,0.0,0.0,0.0,840.4284113209824
2021-01-01,-2132.868466114624,212.61439148431452,212.6144002731182,-2132.868470006305,-2132.8684615702487,2345.4828615805595,2345.4828615805595,2345.4828615805595,2345.4828615805595,2345.4828615805595,2345.4828615805595,0.0,0.0,0.0,212.61439546593556
