ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2018-08-01,233.57640500000002,1273.0037764313395,1273.0037769392638,233.57640500000002,233.57640500000002,1039.4273716694931,1039.4273716694931,1039.4273716694931,1039.4273716694931,1039.4273716694931,1039.4273716694931,0.0,0.0,0.0,1273.0037766694932
2020-01-01,-1040.8748140552786,835.9875643245238,835.9875648261007,-1040.8748140552786,-1040.8748140552786,1876.8623786478186,1876.8623786478186,1876.8623786478186,1876.8623786478186,1876.8623786478186,1876.8623786478186,0.0,0.0,0.0,835.9875645925399
2020-02-01,-1117.145060755498,8347.511731391975,8347.511731917355,-1117.145060755498,-1117.145060755498,9464.656792407879,9464.656792407879,9464.656792407879,9464.656792407879,9464.656792407879,9464.656792407879,0.0,0.0,0.0,8347.511731652381
2020-03-01,-1188.494646378284,-2701.309001555739,-2701.309000971529,-1188.494646378284,-1188.494646378284,-1512.8143548786568,-1512.8143548786568,-1512.8143548786568,-1512.8143548786568,-1512.8143548786568,-1512.8143548786568,0.0,0.0,0.0,-2701.309001256941
2020-04-01,-1264.7648930785033,-10393.62743413482,-10393.627433505591,-1264.7648930785033,-1264.7648930785033,-9128.862540733911,-9128.862540733911,-9128.862540733911,-9128.862540733911,-9128.862540733911,-9128.862540733911,0.0,0.0,0.0,-10393.627433812415
2020-05-01,-1338.574809240006,-4726.639730563159,-4726.639729864522,-1338.574809240006,-1338.574809240006,-3388.064920964309,-3388.064920964309,-3388.064920964309,-3388.064920964309,-3388.064920964309,-3388.064920964309,0.0,0.0,0.0,-4726.639730204315
2020-06-01,-1414.8450559402254,12590.291836635162,12590.291837457991,-1414.8450562089743,-1414.845055774023,14005.136892980538,14005.136892980538,14005.136892980538,14005.136892980538,14005.136892980538,14005.136892980538,0.0,0.0,0.0,12590.291837040313
2020-07-01,-1488.654972101728,-5827.112189001371,-5827.112187865584,-1488.6549725680572,-1488.6549717415119,-4338.457216314814,-4338.457216314814,-4338.457216314814,-4338.457216314814,-4338.457216314814,-4338.457216314814,0.0,0.0,0.0,-5827.112188416542
2020-08-01,-1564.9252188019473,-1294.3533914577627,-1294.353389859327,-1564.9252195618626,-1564.9252179967752,270.57182821715725,270.57182821715725,270.57182821715725,270.57182821715725,270.57182821715725,270.57182821715725,0.0,0.0,0.0,-1294.35339058479
2020-09-01,-1641.1954655021666,642.3739073073069,642.3739098150942,-1641.1954667444952,-1641.1954642653113,2283.569374041983,2283.569374041983,2283.569374041983,2283.569374041983,2283.569374041983,2283.569374041983,0.0,0.0,0.0,642.3739085398163
2020-10-01,-1715.0053816636691,-2608.447809070898,-2608.447805457045,-1715.0053834063422,-1715.0053797053963,-893.442425730434,-893.442425730434,-893.442425730434,-893.442425730434,-893.442425730434,-893.442425730434,0.0,0.0,0.0,-2608.447807394103
2020-11-01,-1791.2756283638885,-8066.607008430555,-8066.607003636832,-1791.275630805417,-1791.2756258611346,-6275.3313777532585,-6275.3313777532585,-6275.3313777532585,-6275.3313777532585,-6275.3313777532585,-6275.3313777532585,0.0,0.0,0.0,-8066.607006117147
2020-12-01,-1865.085544525391,-4510.930556310485,-4510.930550110316,-1865.0855476622528,-1865.0855413336194,-2645.84500867664,-2645.84500867664,-2645.84500867664,-2645.84500867664,-2645.84500867664,-2645.84500867664,0.0,0.0,0.0,-4510.930553202032
2021-01-01,-1941.3557912256103,-1373.5632712960387,-1373.563263536198,-1941.3557951405735,-1941.3557871994076,567.7925238146078,567.7925238146078,567.7925238146078,567.7925238146078,567.7925238146078,567.7925238146078,0.0,0.0,0.0,-1373.5632674110025
