ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2018-08-01,385.977615,1584.9968787953578,1584.9968811706453,385.977615,385.977615,1199.0192649591643,1199.0192649591643,1199.0192649591643,1199.0192649591643,1199.0192649591643,1199.0192649591643,0.0,0.0,0.0,1584.9968799591643
2020-01-01,-973.0647851314421,1013.0048862864261,1013.0048886073151,-973.0647851314421,-973.0647851314421,1986.0696725851433,1986.0696725851433,1986.0696725851433,1986.0696725851433,1986.0696725851433,1986.0696725851433,0.0,0.0,0.0,1013.0048874537011
2020-02-01,-1054.3974384211617,-18315.48305601307,-18315.48305362372,-1054.3974384211617,-1054.3974384211617,-17261.085616424403,-17261.085616424403,-17261.085616424403,-17261.085616424403,-17261.085616424403,-17261.085616424403,0.0,0.0,0.0,-18315.483054845565
2020-03-01,-1130.4828237567058,29783.002157599833,29783.00216009623,-1130.4828237567058,-1130.4828237567058,30913.48498259262,30913.48498259262,30913.48498259262,30913.48498259262,30913.48498259262,30913.48498259262,0.0,0.0,0.0,29783.002158835916
2020-04-01,-1211.8154770464253,-37071.18136195517,-37071.18135938385,-1211.8154770464253,-1211.8154770464253,-35859.36588364184,-35859.36588364184,-35859.36588364184,-35859.36588364184,-35859.36588364184,-35859.36588364184,0.0,0.0,0.0,-37071.181360688264
2020-05-01,-1290.5244963590571,-6380.754985915092,-6380.754983065879,-1290.5244963590571,-1290.5244961717972,-5090.230488142784,-5090.230488142784,-5090.230488142784,-5090.230488142784,-5090.230488142784,-5090.230488142784,0.0,0.0,0.0,-6380.754984501842
2020-06-01,-1371.8571496487766,66480.06804894582,66480.06805191818,-1371.8571498686313,-1371.8571491934176,67851.92519991996,67851.92519991996,67851.92519991996,67851.92519991996,67851.92519991996,67851.92519991996,0.0,0.0,0.0,66480.06805027119
2020-07-01,-1450.5661689614083,-28139.955134535903,-28139.955130980656,-1450.566169580926,-1450.5661682605628,-26689.388963688307,-26689.388963688307,-26689.388963688307,-26689.388963688307,-26689.388963688307,-26689.388963688307,0.0,0.0,0.0,-28139.955132649717
2020-08-01,-1531.8988222511277,-807.0881650143853,-807.0881613289861,-1531.8988235221761,-1531.8988210822156,724.8106591243444,724.8106591243444,724.8106591243444,724.8106591243444,724.8106591243444,724.8106591243444,0.0,0.0,0.0,-807.0881631267833
2020-09-01,-1613.2314755408474,-12138.953880808796,-12138.953876538415,-1613.2314774272943,-1613.2314738424125,-10525.72240309946,-10525.72240309946,-10525.72240309946,-10525.72240309946,-10525.72240309946,-10525.72240309946,0.0,0.0,0.0,-12138.953878640308
2020-10-01,-1691.9404948534793,-57762.30763357248,-57762.307627651666,-1691.9404975489163,-1691.9404926044012,-56070.36713566156,-56070.36713566156,-56070.36713566156,-56070.36713566156,-56070.36713566156,-56070.36713566156,0.0,0.0,0.0,-57762.30763051504
2020-11-01,-1773.2731481431988,16805.395696428015,16805.395703528837,-1773.2731517573081,-1773.2731450325084,18578.668848245095,18578.668848245095,18578.668848245095,18578.668848245095,18578.668848245095,18578.668848245095,0.0,0.0,0.0,16805.395700101897
2020-12-01,-1851.9821674558304,28677.003316324604,28677.003325241974,-1851.9821720605762,-1851.9821631564225,30528.985488527727,30528.985488527727,30528.985488527727,30528.985488527727,30528.985488527727,30528.985488527727,0.0,0.0,0.0,28677.003321071898
2021-01-01,-1933.31482074555,775.446805608367,775.4468171936373,-1933.3148265094449,-1933.3148157781345,2708.761632600175,2708.761632600175,2708.761632600175,2708.761632600175,2708.761632600175,2708.761632600175,0.0,0.0,0.0,775.4468118546249
