route,FL_DATE,avg_arr_delay,avg_dep_delay,flights
ABE-ATL,2018-08-01,-0.6781609195402298,3.2386363636363638,88
ABE-ATL,2020-01-01,-17.818181818181817,-2.696969696969697,66
ABE-BNA,2020-01-01,-4.0,-13.0,1
ABE-CLT,2018-08-01,1.0804597701149425,8.344827586206897,87
ABE-CLT,2020-01-01,-19.013513513513512,-2.9054054054054053,74
ABE-DTW,2018-08-01,13.773809523809524,21.904761904761905,84
ABE-DTW,2020-01-01,-20.6,-3.36,75
ABE-FLL,2018-08-01,91.25,90.75,4
ABE-FLL,2020-01-01,-39.0,-15.0,1
ABE-MYR,2018-08-01,-0.09523809523809523,3.9047619047619047,21
ABE-ORD,2018-08-01,26.321428571428573,30.910714285714285,56
ABE-ORD,2020-01-01,-21.53846153846154,-0.038461538461538464,26
ABE-PGD,2018-08-01,14.857142857142858,22.214285714285715,14
ABE-PGD,2020-01-01,-7.9,-3.8,10
ABE-PHL,2018-08-01,14.127906976744185,15.279069767441861,86
ABE-PIE,2018-08-01,31.133333333333333,34.4,15
ABE-PIE,2020-01-01,-8.181818181818182,-7.7272727272727275,11
ABE-SFB,2018-08-01,12.307692307692308,21.871794871794872,39
ABE-SFB,2020-01-01,-15.411764705882353,-7.4411764705882355,34
ABI-DFW,2018-08-01,1.8757062146892656,4.446327683615819,177
ABI-DFW,2020-01-01,-6.717948717948718,-5.0256410256410255,117
ABQ-ATL,2018-08-01,-1.118279569892473,5.795698924731183,93
ABQ-ATL,2020-01-01,-6.326923076923077,-2.6538461538461537,52
ABQ-AUS,2018-08-01,28.11111111111111,31.61111111111111,36
ABQ-AUS,2020-01-01,-7.5588235294117645,0.14705882352941177,34
ABQ-BWI,2018-08-01,4.491525423728813,7.610169491525424,59
ABQ-BWI,2020-01-01,-12.714285714285714,-0.17857142857142858,28
ABQ-DAL,2018-08-01,1.4827586206896552,7.739726027397261,146
ABQ-DAL,2020-01-01,-5.603174603174603,-1.8492063492063493,126
ABQ-DEN,2018-08-01,13.923076923076923,15.53256704980843,261
ABQ-DEN,2020-01-01,-10.653846153846153,-3.717948717948718,156
ABQ-DFW,2018-08-01,5.01673640167364,9.1,240
ABQ-DFW,2020-01-01,-7.894736842105263,-2.606936416184971,173
ABQ-HOU,2018-08-01,-1.5617977528089888,3.3820224719101124,89
ABQ-HOU,2020-01-01,-9.506172839506172,-2.049382716049383,81
ABQ-IAH,2018-08-01,8.592233009708737,8.048543689320388,103
ABQ-IAH,2020-01-01,-10.136842105263158,-7.578947368421052,95
ABQ-JFK,2018-08-01,1.6896551724137931,5.379310344827586,29
ABQ-JFK,2020-01-01,-12.176470588235293,-7.0,17
ABQ-LAS,2018-08-01,8.045801526717558,13.763358778625955,131
ABQ-LAS,2020-01-01,-10.839622641509434,-1.5566037735849056,106
ABQ-LAX,2018-08-01,1.0,3.336099585062241,241
ABQ-LAX,2020-01-01,-9.569620253164556,-2.5316455696202533,79
ABQ-MCI,2018-08-01,20.387096774193548,24.161290322580644,31
ABQ-MCI,2020-01-01,-9.818181818181818,-2.227272727272727,22
ABQ-MCO,2018-08-01,21.0,30.692307692307693,13
ABQ-MDW,2018-08-01,6.90625,10.28125,64
ABQ-MDW,2020-01-01,-14.82857142857143,-1.6857142857142857,35
ABQ-MSP,2018-08-01,-15.225806451612904,-3.3548387096774195,31
ABQ-MSP,2020-01-01,-16.0,-0.5,2
ABQ-OAK,2018-08-01,-0.6428571428571429,6.559523809523809,84
ABQ-OAK,2020-01-01,-10.142857142857142,-1.3265306122448979,49
ABQ-ORD,2018-08-01,10.92156862745098,12.495145631067961,103
ABQ-ORD,2020-01-01,-8.03125,-3.703125,64
ABQ-PDX,2018-08-01,10.327586206896552,11.379310344827585,58
ABQ-PDX,2020-01-01,-5.642857142857143,-10.285714285714286,28
ABQ-PHX,2018-08-01,3.3703703703703702,8.110367892976589,299
ABQ-PHX,2020-01-01,-8.724137931034482,-2.5593869731800765,261
ABQ-SAN,2018-08-01,-5.935483870967742,3.978494623655914,93
ABQ-SAN,2020-01-01,-11.839285714285714,-0.9107142857142857,56
ABQ-SAT,2018-08-01,35.4,25.6,5
ABQ-SEA,2018-08-01,26.016666666666666,25.55,60
ABQ-SEA,2020-01-01,-5.083333333333333,-2.4583333333333335,24
ABQ-SFO,2018-08-01,18.633928571428573,20.125,112
ABQ-SFO,2020-01-01,-16.21818181818182,-4.8545454545454545,55
ABQ-SJC,2018-08-01,-12.0,-2.0,4
ABQ-SJC,2020-01-01,-11.272727272727273,-1.8181818181818181,22
ABQ-SLC,2018-08-01,8.397727272727273,9.269662921348315,89
ABQ-SLC,2020-01-01,-11.8375,-3.925,80
ABQ-SNA,2018-08-01,-2.25,5.0,40
ABR-MSP,2018-08-01,-2.725806451612903,0.16129032258064516,62
ABR-MSP,2020-01-01,-13.48936170212766,-1.2765957446808511,47
ABY-ATL,2018-08-01,21.67816091954023,22.95402298850575,87
ABY-ATL,2020-01-01,-13.075949367088608,-3.4936708860759493,79
ACK-BOS,2018-08-01,17.918367346938776,17.9,50
ACK-CLT,2018-08-01,11.5,16.5,4
ACK-DCA,2018-08-01,6.982456140350878,10.706896551724139,58
ACK-EWR,2018-08-01,42.25316455696203,39.58227848101266,79
ACK-JFK,2018-08-01,31.2265625,35.286821705426355,129
ACK-LGA,2018-08-01,22.431818181818183,21.155555555555555,45
ACT-DFW,2018-08-01,1.7986111111111112,4.468965517241379,145
ACT-DFW,2020-01-01,-10.86734693877551,-5.663265306122449,98
ACV-DEN,2020-01-01,-19.37037037037037,-7.407407407407407,27
ACV-LAX,2018-08-01,16.774193548387096,11.193548387096774,31
ACV-LAX,2020-01-01,-20.423076923076923,-7.384615384615385,52
ACV-SFO,2018-08-01,6.579831932773109,9.3109243697479,119
