route,FL_DATE,flights
ABE-ATL,2018-08-01,88
ABE-ATL,2020-01-01,66
ABE-BNA,2020-01-01,1
ABE-CLT,2018-08-01,87
ABE-CLT,2020-01-01,74
ABE-DTW,2018-08-01,84
ABE-DTW,2020-01-01,75
ABE-FLL,2018-08-01,4
ABE-FLL,2020-01-01,1
ABE-MYR,2018-08-01,21
ABE-ORD,2018-08-01,56
ABE-ORD,2020-01-01,26
ABE-PGD,2018-08-01,14
ABE-PGD,2020-01-01,10
ABE-PHL,2018-08-01,86
ABE-PIE,2018-08-01,15
ABE-PIE,2020-01-01,11
ABE-SFB,2018-08-01,39
ABE-SFB,2020-01-01,34
ABI-DFW,2018-08-01,177
ABI-DFW,2020-01-01,117
ABQ-ATL,2018-08-01,93
ABQ-ATL,2020-01-01,52
ABQ-AUS,2018-08-01,36
ABQ-AUS,2020-01-01,34
ABQ-BWI,2018-08-01,59
ABQ-BWI,2020-01-01,28
ABQ-DAL,2018-08-01,146
ABQ-DAL,2020-01-01,126
ABQ-DEN,2018-08-01,261
ABQ-DEN,2020-01-01,156
ABQ-DFW,2018-08-01,240
ABQ-DFW,2020-01-01,173
ABQ-HOU,2018-08-01,89
ABQ-HOU,2020-01-01,81
ABQ-IAH,2018-08-01,103
ABQ-IAH,2020-01-01,95
ABQ-JFK,2018-08-01,29
ABQ-JFK,2020-01-01,17
ABQ-LAS,2018-08-01,131
ABQ-LAS,2020-01-01,106
ABQ-LAX,2018-08-01,241
ABQ-LAX,2020-01-01,79
ABQ-MCI,2018-08-01,31
ABQ-MCI,2020-01-01,22
ABQ-MCO,2018-08-01,13
ABQ-MDW,2018-08-01,64
ABQ-MDW,2020-01-01,35
ABQ-MSP,2018-08-01,31
ABQ-MSP,2020-01-01,2
ABQ-OAK,2018-08-01,84
ABQ-OAK,2020-01-01,49
ABQ-ORD,2018-08-01,103
ABQ-ORD,2020-01-01,64
ABQ-PDX,2018-08-01,58
ABQ-PDX,2020-01-01,28
ABQ-PHX,2018-08-01,299
ABQ-PHX,2020-01-01,261
ABQ-SAN,2018-08-01,93
ABQ-SAN,2020-01-01,56
ABQ-SAT,2018-08-01,5
ABQ-SEA,2018-08-01,60
ABQ-SEA,2020-01-01,24
ABQ-SFO,2018-08-01,112
ABQ-SFO,2020-01-01,55
ABQ-SJC,2018-08-01,4
ABQ-SJC,2020-01-01,22
ABQ-SLC,2018-08-01,89
ABQ-SLC,2020-01-01,80
ABQ-SNA,2018-08-01,40
ABR-MSP,2018-08-01,62
ABR-MSP,2020-01-01,47
ABY-ATL,2018-08-01,87
ABY-ATL,2020-01-01,79
ACK-BOS,2018-08-01,50
ACK-CLT,2018-08-01,4
ACK-DCA,2018-08-01,58
ACK-EWR,2018-08-01,79
ACK-JFK,2018-08-01,129
ACK-LGA,2018-08-01,45
ACT-DFW,2018-08-01,145
ACT-DFW,2020-01-01,98
ACV-DEN,2020-01-01,27
ACV-LAX,2018-08-01,31
ACV-LAX,2020-01-01,52
ACV-SFO,2018-08-01,119
ACV-SFO,2020-01-01,74
ACY-ATL,2018-08-01,31
ACY-FLL,2018-08-01,62
ACY-FLL,2020-01-01,80
ACY-MCO,2018-08-01,60
ACY-MCO,2020-01-01,58
ACY-MSY,2018-08-01,18
ACY-MYR,2018-08-01,30
ACY-MYR,2020-01-01,21
ACY-PBI,2020-01-01,29
ACY-RSW,2018-08-01,30
ACY-RSW,2020-01-01,49
ACY-TPA,2018-08-01,31
ACY-TPA,2020-01-01,28
ADK-ANC,2018-08-01,9
ADK-ANC,2020-01-01,5
ADQ-ANC,2018-08-01,56
ADQ-ANC,2020-01-01,34
AEX-ATL,2018-08-01,120
AEX-ATL,2020-01-01,94
AEX-DFW,2018-08-01,93
AEX-DFW,2020-01-01,70
AEX-IAH,2018-08-01,88
AEX-IAH,2020-01-01,51
AGS-ATL,2018-08-01,234
AGS-ATL,2020-01-01,203
AGS-CLT,2018-08-01,181
AGS-CLT,2020-01-01,64
AGS-DCA,2020-01-01,14
AGS-DFW,2020-01-01,24
AKN-ANC,2018-08-01,4
ALB-ATL,2018-08-01,89
ALB-ATL,2020-01-01,83
ALB-BWI,2018-08-01,173
ALB-BWI,2020-01-01,114
ALB-CLT,2018-08-01,88
ALB-CLT,2020-01-01,70
ALB-DCA,2018-08-01,108
ALB-DCA,2020-01-01,44
ALB-DEN,2018-08-01,31
ALB-DTW,2018-08-01,112
ALB-DTW,2020-01-01,99
ALB-EWR,2018-08-01,145
ALB-EWR,2020-01-01,14
ALB-FLL,2018-08-01,37
ALB-FLL,2020-01-01,41
ALB-IAD,2018-08-01,81
ALB-IAD,2020-01-01,1
ALB-MCO,2018-08-01,66
ALB-MCO,2020-01-01,100
ALB-MDW,2018-08-01,62
ALB-MDW,2020-01-01,49
ALB-MSP,2018-08-01,31
ALB-MSP,2020-01-01,1
ALB-ORD,2018-08-01,192
ALB-ORD,2020-01-01,96
ALB-PGD,2020-01-01,7
ALB-PHL,2018-08-01,158
ALB-PIE,2020-01-01,6
ALB-RSW,2020-01-01,12
ALB-SFB,2020-01-01,7
ALB-TPA,2018-08-01,31
ALB-TPA,2020-01-01,34
ALO-ORD,2018-08-01,57
ALO-ORD,2020-01-01,44
ALW-SEA,2018-08-01,74
AMA-DAL,2018-08-01,117
AMA-DAL,2020-01-01,100
AMA-DEN,2018-08-01,60
AMA-DEN,2020-01-01,1
AMA-DFW,2018-08-01,211
AMA-DFW,2020-01-01,151
AMA-HOU,2020-01-01,4
AMA-IAH,2018-08-01,97
AMA-IAH,2020-01-01,52
AMA-LAS,2018-08-01,31
AMA-LAS,2020-01-01,30
AMA-PHX,2018-08-01,29
ANC-ADK,2018-08-01,9
ANC-ADK,2020-01-01,7
ANC-ADQ,2018-08-01,56
ANC-ADQ,2020-01-01,32
ANC-AKN,2018-08-01,4
ANC-ATL,2018-08-01,31
ANC-BET,2018-08-01,71
ANC-BET,2020-01-01,58
ANC-CDV,2018-08-01,31
ANC-CDV,2020-01-01,23
ANC-DEN,2018-08-01,51
ANC-DEN,2020-01-01,35
ANC-DFW,2018-08-01,31
ANC-DLG,2018-08-01,22
ANC-DUT,2018-08-01,71
ANC-EWR,2018-08-01,4
ANC-FAI,2018-08-01,199
ANC-FAI,2020-01-01,146
ANC-HNL,2018-08-01,31
ANC-HNL,2020-01-01,28
ANC-IAH,2018-08-01,20
ANC-JNU,2018-08-01,114
ANC-JNU,2020-01-01,98
ANC-KOA,2020-01-01,16
ANC-LAX,2018-08-01,77
ANC-LAX,2020-01-01,28
ANC-MSP,2018-08-01,85
ANC-MSP,2020-01-01,20
ANC-OGG,2020-01-01,18
ANC-OME,2018-08-01,35
ANC-OME,2020-01-01,31
ANC-ORD,2018-08-01,100
ANC-ORD,2020-01-01,8
ANC-OTZ,2018-08-01,58
ANC-OTZ,2020-01-01,47
ANC-PDX,2018-08-01,140
ANC-PDX,2020-01-01,61
ANC-PHX,2018-08-01,21
ANC-PHX,2020-01-01,23
ANC-SCC,2018-08-01,61
ANC-SCC,2020-01-01,50
ANC-SEA,2018-08-01,819
ANC-SEA,2020-01-01,398
ANC-SFO,2018-08-01,31
ANC-SLC,2018-08-01,21
APN-DTW,2018-08-01,31
APN-DTW,2020-01-01,25
